Event Action,Event Label,Total Events,Unique Events,Event Value,Avg. Value
LEVEL2,fd71bcea33752,1,1,5,5.00
LEVEL20,1aee3d633a4ab893,1,1,5,5.00
LEVEL20,9221b7b0320a98af,1,1,5,5.00
LEVEL3,2ca60efb961275ed,1,1,4,4.00
LEVEL3,33cff27a7ee1f85d,1,1,4,4.00
LEVEL3,3a843e83d9cd7f82,1,1,4,4.00
LEVEL3,47c7ca8745e28469,1,1,5,5.00
LEVEL3,5b23fbc2c11487ac,1,1,5,5.00
LEVEL3,7629e68a79a0113d,1,1,4,4.00
LEVEL3,7f5b249fcb41f77b,1,1,5,5.00
LEVEL3,8d5f94aa50520880,1,1,5,5.00
LEVEL3,9221b7b0320a98af,1,1,4,4.00
LEVEL3,98eadc21d43e6fa3,1,1,5,5.00
LEVEL3,a7ed701596ef68cb,1,1,5,5.00
LEVEL3,d4569452c610e06f,1,1,3,3.00
LEVEL3,dcfd8ce1c43dd0f0,1,1,1,1.00
LEVEL3,eac5443f079d5409,1,1,3,3.00
LEVEL3,f2785d459a8ab75a,1,1,5,5.00
LEVEL3,f3119c62dd3cbc01,1,1,5,5.00
LEVEL3,faa65e826d857707,1,1,1,1.00
LEVEL3,fd71bcea33752,1,1,5,5.00
LEVEL4,33cff27a7ee1f85d,1,1,4,4.00
LEVEL4,3a843e83d9cd7f82,1,1,4,4.00
LEVEL4,47c7ca8745e28469,1,1,5,5.00
LEVEL4,65718f7ffff8f3e5,1,1,3,3.00
LEVEL4,7629e68a79a0113d,1,1,4,4.00
LEVEL4,7f5b249fcb41f77b,1,1,5,5.00
LEVEL4,8d5f94aa50520880,1,1,5,5.00
LEVEL4,9221b7b0320a98af,1,1,5,5.00
LEVEL4,98eadc21d43e6fa3,1,1,5,5.00
LEVEL4,a7ed701596ef68cb,1,1,5,5.00
LEVEL4,d4569452c610e06f,1,1,3,3.00
LEVEL4,dcfd8ce1c43dd0f0,1,1,1,1.00
LEVEL4,eac5443f079d5409,1,1,2,2.00
LEVEL4,f2785d459a8ab75a,1,1,5,5.00
LEVEL4,f3119c62dd3cbc01,1,1,4,4.00
LEVEL4,faa65e826d857707,1,1,1,1.00
LEVEL4,fd71bcea33752,1,1,5,5.00
LEVEL5,33cff27a7ee1f85d,1,1,5,5.00
LEVEL5,3a843e83d9cd7f82,1,1,4,4.00
LEVEL5,47c7ca8745e28469,1,1,5,5.00
LEVEL5,65718f7ffff8f3e5,1,1,4,4.00
LEVEL5,7629e68a79a0113d,1,1,5,5.00
LEVEL5,7f5b249fcb41f77b,1,1,5,5.00
LEVEL5,8d5f94aa50520880,1,1,4,4.00
LEVEL5,9221b7b0320a98af,1,1,4,4.00
LEVEL5,98eadc21d43e6fa3,1,1,5,5.00
LEVEL5,a7ed701596ef68cb,1,1,5,5.00
LEVEL5,d4569452c610e06f,1,1,4,4.00
LEVEL5,dcfd8ce1c43dd0f0,1,1,1,1.00
LEVEL5,eac5443f079d5409,1,1,1,1.00
LEVEL5,f3119c62dd3cbc01,1,1,4,4.00
LEVEL5,faa65e826d857707,1,1,1,1.00
LEVEL6,33cff27a7ee1f85d,1,1,5,5.00
LEVEL6,3a843e83d9cd7f82,1,1,4,4.00
LEVEL6,47c7ca8745e28469,1,1,5,5.00
LEVEL6,65718f7ffff8f3e5,1,1,5,5.00
LEVEL6,7629e68a79a0113d,1,1,4,4.00
LEVEL6,7f5b249fcb41f77b,1,1,5,5.00
LEVEL6,9221b7b0320a98af,1,1,5,5.00
LEVEL6,98eadc21d43e6fa3,1,1,5,5.00
LEVEL6,a7ed701596ef68cb,1,1,5,5.00
LEVEL6,d4569452c610e06f,1,1,4,4.00
LEVEL6,dcfd8ce1c43dd0f0,1,1,1,1.00
LEVEL6,eac5443f079d5409,1,1,1,1.00
LEVEL6,f2785d459a8ab75a,1,1,5,5.00
LEVEL6,f3119c62dd3cbc01,1,1,4,4.00
LEVEL6,faa65e826d857707,1,1,1,1.00
LEVEL7,3a843e83d9cd7f82,1,1,4,4.00
LEVEL7,47c7ca8745e28469,1,1,5,5.00
LEVEL7,65718f7ffff8f3e5,1,1,5,5.00
LEVEL7,7629e68a79a0113d,1,1,4,4.00
LEVEL7,7f5b249fcb41f77b,1,1,5,5.00
LEVEL7,9221b7b0320a98af,1,1,5,5.00
LEVEL7,98eadc21d43e6fa3,1,1,5,5.00
LEVEL7,a7ed701596ef68cb,1,1,5,5.00
LEVEL7,d4569452c610e06f,1,1,4,4.00
LEVEL7,dcfd8ce1c43dd0f0,1,1,1,1.00
LEVEL7,eac5443f079d5409,1,1,1,1.00
LEVEL7,f2785d459a8ab75a,1,1,5,5.00
LEVEL7,f3119c62dd3cbc01,1,1,4,4.00
LEVEL7,faa65e826d857707,1,1,1,1.00
LEVEL8,1aee3d633a4ab893,1,1,3,3.00
LEVEL8,3a843e83d9cd7f82,1,1,4,4.00
LEVEL8,47c7ca8745e28469,1,1,5,5.00
LEVEL8,65718f7ffff8f3e5,1,1,5,5.00
LEVEL8,6d0113052c269298,1,1,4,4.00
LEVEL8,7629e68a79a0113d,1,1,5,5.00
LEVEL8,7f5b249fcb41f77b,1,1,5,5.00
LEVEL8,9221b7b0320a98af,1,1,5,5.00
LEVEL8,98eadc21d43e6fa3,1,1,5,5.00
LEVEL8,d4569452c610e06f,1,1,4,4.00
LEVEL8,dcfd8ce1c43dd0f0,1,1,1,1.00
LEVEL8,eac5443f079d5409,1,1,1,1.00
LEVEL8,f2785d459a8ab75a,1,1,5,5.00
