Age,Sex,Clarity,Flow,Balance,Length,Integration,Fun,FrequentUser,CategoryLike,ReactionTime,GoalTime,Level1CompleteTime,Level2CompleteTime,Failrate,Winrate
22,M,5,7,6,7,6,5,#,#,2,25,70,45,1,2
27,M,7,7,6,#,6,6,0,#,3,9,45,#,2,2
22,M,5,6,6,6,6,7,1,1,#,#,#,#,#,#
